Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain
GERD,stomach_pain,acidity,vomiting,cough,chest_pain
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain
GERD,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite
Chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain
Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level
Diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
Diabetes,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
Diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision
Diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision
Diabetes,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history
Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum
Bronchial Asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum
Bronchial Asthma,fatigue,cough,high_fever,family_history,mucoid_sputum
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger
Migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
Migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck
Migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever
Jaundice,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
Jaundice,itching,fatigue,weight_loss,high_fever,yellowish_skin
Jaundice,itching,vomiting,weight_loss,high_fever,yellowish_skin
Jaundice,itching,vomiting,fatigue,high_fever,yellowish_skin
Jaundice,itching,vomiting,fatigue,weight_loss,yellowish_skin
Malaria,chills,vomiting,high_fever,sweating,headache
Malaria,vomiting,high_fever,sweating,headache,nausea
Malaria,chills,high_fever,sweating,headache,nausea
Malaria,chills,vomiting,sweating,headache,nausea
Malaria,chills,vomiting,high_fever,headache,nausea
Malaria,chills,vomiting,high_fever,sweating,nausea
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever
Chicken pox,skin_rash,fatigue,lethargy,high_fever,headache
Chicken pox,itching,fatigue,lethargy,high_fever,headache
Chicken pox,itching,skin_rash,lethargy,high_fever,headache
Chicken pox,itching,skin_rash,fatigue,high_fever,headache
Chicken pox,itching,skin_rash,fatigue,lethargy,headache
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue
Dengue,chills,joint_pain,vomiting,fatigue,high_fever
Dengue,skin_rash,joint_pain,vomiting,fatigue,high_fever
Dengue,skin_rash,chills,vomiting,fatigue,high_fever
Dengue,skin_rash,chills,joint_pain,fatigue,high_fever
Dengue,skin_rash,chills,joint_pain,vomiting,high_fever
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea
hepatitis A,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
hepatitis A,joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite
hepatitis A,joint_pain,vomiting,dark_urine,nausea,loss_of_appetite
hepatitis A,joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite
Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine
Hepatitis B,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
Hepatitis B,itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite
Hepatitis B,itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite
Hepatitis B,itching,fatigue,lethargy,dark_urine,loss_of_appetite
Hepatitis B,itching,fatigue,lethargy,yellowish_skin,loss_of_appetite
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
Hepatitis C,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Hepatitis C,fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Hepatitis C,fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history
Hepatitis C,fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine
Hepatitis D,vomiting,fatigue,yellowish_skin,dark_urine,nausea
Hepatitis D,joint_pain,fatigue,yellowish_skin,dark_urine,nausea
Hepatitis D,joint_pain,vomiting,yellowish_skin,dark_urine,nausea
Hepatitis D,joint_pain,vomiting,fatigue,dark_urine,nausea
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,nausea
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin
Hepatitis E,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
Hepatitis E,joint_pain,fatigue,high_fever,yellowish_skin,dark_urine
Hepatitis E,joint_pain,vomiting,high_fever,yellowish_skin,dark_urine
Hepatitis E,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,dark_urine
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen
Alcoholic hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
Alcoholic hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
Alcoholic hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption
Tuberculosis,chills,vomiting,fatigue,weight_loss,cough
Tuberculosis,vomiting,fatigue,weight_loss,cough,high_fever
Tuberculosis,chills,fatigue,weight_loss,cough,high_fever
Tuberculosis,chills,vomiting,weight_loss,cough,high_fever
Tuberculosis,chills,vomiting,fatigue,cough,high_fever
Tuberculosis,chills,vomiting,fatigue,weight_loss,high_fever
Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever
Common Cold,chills,fatigue,cough,high_fever,headache
Common Cold,continuous_sneezing,fatigue,cough,high_fever,headache
Common Cold,continuous_sneezing,chills,cough,high_fever,headache
Common Cold,continuous_sneezing,chills,fatigue,high_fever,headache
Common Cold,continuous_sneezing,chills,fatigue,cough,headache
Pneumonia,chills,fatigue,cough,high_fever,breathlessness
Pneumonia,fatigue,cough,high_fever,breathlessness,sweating
Pneumonia,chills,cough,high_fever,breathlessness,sweating
Pneumonia,chills,fatigue,high_fever,breathlessness,sweating
Pneumonia,chills,fatigue,cough,breathlessness,sweating
Pneumonia,chills,fatigue,cough,high_fever,sweating
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs
Varicose veins,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels
Varicose veins,fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels
Varicose veins,fatigue,cramps,obesity,swollen_legs,swollen_blood_vessels
Varicose veins,fatigue,cramps,bruising,swollen_legs,swollen_blood_vessels
Varicose veins,fatigue,cramps,bruising,obesity,swollen_blood_vessels
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy
Hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness
Hypothyroidism,fatigue,cold_hands_and_feets,mood_swings,lethargy,dizziness
Hypothyroidism,fatigue,weight_gain,mood_swings,lethargy,dizziness
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,lethargy,dizziness
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,dizziness
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating
Hyperthyroidism,mood_swings,weight_loss,restlessness,sweating,diarrhoea
Hyperthyroidism,fatigue,weight_loss,restlessness,sweating,diarrhoea
Hyperthyroidism,fatigue,mood_swings,restlessness,sweating,diarrhoea
Hyperthyroidism,fatigue,mood_swings,weight_loss,sweating,diarrhoea
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,diarrhoea
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache
Hypoglycemia,fatigue,anxiety,sweating,headache,nausea
Hypoglycemia,vomiting,anxiety,sweating,headache,nausea
Hypoglycemia,vomiting,fatigue,sweating,headache,nausea
Hypoglycemia,vomiting,fatigue,anxiety,headache,nausea
Hypoglycemia,vomiting,fatigue,anxiety,sweating,nausea
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints
Osteoarthristis,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking
Osteoarthristis,joint_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking
Osteoarthristis,joint_pain,neck_pain,hip_joint_pain,swelling_joints,painful_walking
Osteoarthristis,joint_pain,neck_pain,knee_pain,swelling_joints,painful_walking
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain,painful_walking
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance
(vertigo) Paroymsal  Positional Vertigo,headache,nausea,spinning_movements,loss_of_balance,unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,spinning_movements,loss_of_balance,unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements,unsteadiness
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails
Psoriasis,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
Psoriasis,skin_rash,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
Psoriasis,skin_rash,joint_pain,silver_like_dusting,small_dents_in_nails,inflammatory_nails
Psoriasis,skin_rash,joint_pain,skin_peeling,small_dents_in_nails,inflammatory_nails
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,inflammatory_nails
